Ano,Campeonato Brasileiro,Copa do Brasil
1959,Bahia,
1960,Palmeiras,
1961,Santos,
1962,Santos,
1963,Santos,
1964,Santos,
1965,Santos,
1966,Cruzeiro,
1967,Palmeiras,
1967,Palmeiras,
1968,Botafogo,
1968,Santos,
1969,Palmeiras,
1970,Fluminense,
1971,Atlético Mineiro,
1972,Palmeiras,
1973,Palmeiras,
1974,Vasco da Gama,
1975,Internacional,
1976,Internacional,
1977,São Paulo,
1978,Guarani,
1979,Internacional,
1980,Flamengo,
1981,Grêmio,
1982,Flamengo,
1983,Flamengo,
1984,Fluminense,
1985,Coritiba,
1986,São Paulo,
1987,Flamengo,
1988,Bahia,
1989,Vasco da Gama,Grêmio
1990,Corinthians,Flamengo
1991,São Paulo,Criciúma
1992,Flamengo,Internacional
1993,Palmeiras,Cruzeiro
1994,Palmeiras,Grêmio
1995,Botafogo,Corinthians
1996,Grêmio,Cruzeiro
1997,Vasco da Gama,Grêmio
1998,Corinthians,Palmeiras
1999,Corinthians,Juventude
2000,Vasco da Gama,Cruzeiro
2001,Atlético Paranaense,Grêmio
2002,Santos,Corinthians
2003,Cruzeiro,Cruzeiro
2004,Santos,Santo André
2005,Corinthians,Paulista
2006,São Paulo,Flamengo
2007,São Paulo,Fluminense
2008,São Paulo,Sport
2009,Flamengo,Corinthians
2010,Fluminense,Santos
2011,Corinthians,Vasco da Gama
2012,Fluminense,Palmeiras
2013,Cruzeiro,Flamengo
2014,Cruzeiro,Atlético Mineiro
2015,Corinthians,Palmeiras
2016,Palmeiras,Grêmio
2017,Corinthians,Cruzeiro
2018,Palmeiras,Cruzeiro
